"id";"username";"name";"email";"password";"create_time";"score";"active"
21;"John";"John";"john@yahoo.com";"john456";"2016-04-23 20:50:33";0;1
22;"Jack";"Jack";"jack@xyz.com";"1234";"2016-04-23 20:50:33";0;1
23;"Amit";"Amit";"amit@abc.com";"4312";"2016-04-23 20:50:33";0;1
24;"Arun";"Arun";"arun@outlook.com";"arun12";"2016-04-23 20:50:33";0;1
25;"Gopal";"Gopal";"gopal@msn.com";"gopal123";"2016-04-23 20:50:33";0;1
26;"Ritesh";"Ritesh";"ritesh@yahoo.com";"rit123";"2016-04-23 20:50:33";0;1
27;"Sumit";"Sumit";"sumit@gmail.com";"sumit098";"2016-04-23 20:50:33";0;1
28;"Dany";"Dany";"dany@hotmail.com";"6756";"2016-04-23 20:50:33";0;1
29;"Rajesh";"Rajesh";"rajesh@abc.com";"raju43";"2016-04-23 20:50:33";0;1
30;"Anju";"Anju";"anju@gmail.com";"anju87";"2016-04-23 20:50:33";0;1
31;"Ayush";"Ayush";"ayush@yahoo.in";"ayush123";"2016-04-23 20:50:33";0;1
